brand,model,year,mileage,fuel,power_ps,price
Opel,Corsa 1.0,2026,221000,Benzin,54,499
Opel,Corsa FESTPREIS,2006,110000,Benzin,60,599
Opel,Adam *NUR,2016,197991,Benzin,116,3800
Toyota,Yaris 1.3,2006,153217,Benzin,87,1799
Opel,Cascada Edit*SHZ*LENKR.-HZ*TEMPOM*PDC,2013,130200,Benzin,120,4490
Lamborghini,Urus SE,,65,Benzin,799,3888001
SEAT,Ibiza Style,2018,174000,Benzin,95,4999
Dacia,Sandero Comfort,2019,8075,Benzin,73,8950
Opel,Ampera ePionier°PDC°Navi°RFK°Shzg°Bose°DAB°Radio,2011,162450,Benzin,151,5970
Volkswagen,Polo V,2014,85000,Benzin,75,6700
Hyundai,SANTA FE,2007,299999,Diesel,150,2799
Skoda,Kamiq Essence,2024,14000,Benzin,95,174801
Opel,Insignia Lim.,2012,208350,Diesel,160,4000
SEAT,Arona Start,,0,Benzin,95,162501
Skoda,Octavia 2.0,2012,200000,Diesel,140,4999
Skoda,Octavia Octavia,2010,158845,Benzin,122,3999
Audi,RS7 Sportback,2025,2000,Benzin,760,2490001
Opel,Crossland X,2020,28155,Benzin,110,12220
Renault,Espace 1.6,2015,122895,Diesel,160,9499
Opel,Corsa FESTPREIS,2006,110000,Benzin,60,599
Mitsubishi,Space Star,2017,43500,Benzin,80,6980
Opel,Mokka-E GS,2022,32950,Elektro,136,154501
Mazda,6 Kombi,2012,194582,Diesel,163,2999
Subaru,Legacy Lim.,2013,158600,Diesel,150,6490
Renault,Clio Limited,2016,98047,Benzin,73,3900
Mercedes-Benz,E 200,2009,239005,Benzin,184,6480
Skoda,Kamiq Active,2023,50000,Benzin,95,14900
Opel,Corsa 150,2012,95650,Benzin,69,4900
Mazda,CX-3 2.0,2016,117000,Benzin,120,10199
Ford,Focus Turnier,2018,106621,Diesel,120,8490
SEAT,Altea Sport,2009,183100,Benzin,160,1440
Mitsubishi,Space Star,2023,39851,Benzin,71,9990
Renault,Clio Dynamique,2009,175000,Benzin,75,2790
Toyota,Aygo KLIMA,2020,21187,Benzin,72,8990
Ford,Focus T,2021,140000,Diesel,120,92501
Subaru,Legacy Lim.,2005,162470,Benzin,165,799
Opel,Astra Sports,2016,114080,Benzin,105,6900
Fiat,500 500,2009,112659,Benzin,99,4500
Mercedes-Benz,Citan Kombi,2014,172000,Diesel,90,6790
Opel,Adam *NUR,2016,197991,Benzin,116,3800
Ford,B-Max B-MAX,2014,102924,Benzin,101,5499
Dacia,Duster I,2016,195755,Diesel,109,5499
Opel,Crossland X,2021,26183,Benzin,131,13990
Dacia,Spring Comfort,2022,43890,Elektro,45,87751
Nissan,Qashqai Nissan,2015,85908,Benzin,116,8999
Jaguar,XF R-Sport,2017,128000,Diesel,179,14900
Ford,Fiesta Trend,2016,157400,Diesel,95,4500
Audi,A3 1.2,2012,63500,Benzin,105,10995
Mitsubishi,Lancer 35,2012,193000,Benzin,117,5900
Jeep,Compass 2.2,2011,156513,Diesel,163,4199
Hyundai,iX20 1.4,2012,80324,Benzin,90,5910
Audi,A4 Avant,2010,200000,Benzin,160,5999
Opel,Zafira Tourer,2019,108000,Diesel,170,129901
Peugeot,508 SW,2017,94000,Diesel,179,10990
BMW,318 i,2003,213000,Benzin,143,1999
Hyundai,VELOSTER Teilleder,2011,125000,Benzin,140,6500
Opel,Zafira 1.8i,2010,105592,Benzin,140,3799
CUPRA,Formentor 1.5,2023,9661,Benzin,150,209501
Nissan,X-Trail 2.0,2017,126000,Diesel,177,13790
Toyota,Yaris 1.3,2006,153217,Benzin,87,1799
Nissan,X-Trail 2.0,2017,126000,Diesel,177,13790
Opel,Corsa GS-Line,2024,26800,Benzin,101,139001
Volkswagen,Golf VII,2014,123850,Benzin,86,7990
SEAT,Leon Comfort,2009,141400,Benzin,160,4990
BMW,318 318i,2004,118400,Benzin,143,5499
Mercedes-Benz,CLS 250,2013,175575,Diesel,204,12950
Opel,Corsa D,2009,208874,Benzin,80,2499
Mercedes-Benz,CLS 250,2013,175575,Diesel,204,12950
Opel,Astra ASTRA,2016,100000,Benzin,101,7490
Tesla,Model 3,2020,105800,Elektro,325,189901
Skoda,Fabia Cool,2027,142900,Benzin,60,3990
BMW,318 i,2007,242500,Benzin,129,3000
Ford,Tourneo Courier,2015,102108,Benzin,101,7999
Honda,Civic 1.8,2013,159000,Benzin,141,6400
Mazda,CX-5 SENDO,2014,194000,Benzin,165,7900
BMW,116 5-TÜRIG,2014,159109,Benzin,136,7490
Opel,Corsa F,2023,24750,Benzin,101,146001
Ford,S-Max 2.0d,2013,271346,Diesel,140,3750
Audi,A6 Lim.,2018,157400,Diesel,218,20990
Opel,Cascada Edit*SHZ*LENKR.-HZ*TEMPOM*PDC,2013,130200,Benzin,120,4490
Volkswagen,T-Roc 1.0,2020,42378,Benzin,116,16990
Dacia,Sandero III,2021,36964,Benzin,91,10990
Jeep,Cherokee 2.0,2015,102000,Diesel,170,12890
Volvo,V50 Kombi,2009,244000,Diesel,109,2150
Mazda,CX-5 Exclusive-Line,2016,129000,Diesel,150,11900
Opel,Corsa Edition,2022,32900,Benzin,75,109501
Renault,Twingo Dynamique|LED,2015,60669,Benzin,71,5999
BMW,435 435d,2017,157691,Diesel,313,22890
Opel,Adam Rocks,2015,79655,Benzin,116,8490
Jeep,Avenger 1.2,2024,30000,Benzin,101,169001
Hyundai,i10 Style,2013,146000,Benzin,87,3950
Hyundai,i30 Classic,2013,123000,Benzin,99,6490
Renault,"Kadjar Life,",2019,26692,Benzin,140,12980
Mercedes-Benz,Vito 111,2017,186750,Diesel,114,107701
Kia,Rio 1.4,2027,88000,Benzin,97,2950
Opel,Corsa CATCH,2007,25000,Benzin,60,4890
Mercedes-Benz,SLK Roadster,2006,177150,Benzin,163,4200
Suzuki,Jimny Cabrio,2001,112336,Benzin,80,3980
Volkswagen,Polo Comfortline,2018,138000,Benzin,95,11997
SEAT,Ibiza Style,2018,174000,Benzin,95,4999
BMW,X3 xDrive,2013,75631,Benzin,184,16500
Hyundai,TUCSON 2WD,2019,22214,Benzin,132,16250
Mercedes-Benz,EQA 350,2024,9873,Elektro,292,348001
BMW,116 i,2009,126500,Benzin,122,5890
Volkswagen,Golf VI,2012,147450,Diesel,170,9900
Opel,Astra Sports,2016,100000,Benzin,150,8880
Kia,Rio Spirit,2015,91176,Benzin,109,9990
Nissan,X-Trail 2.0,2017,126000,Diesel,177,13790
Volvo,XC60 D5,2014,207170,Diesel,215,11800
Renault,Clio SCe,2022,25902,Benzin,67,109801
Volkswagen,Passat Variant,2016,202000,Diesel,120,8400
Subaru,Forester 2.0D,2013,135000,Diesel,147,9950
Mercedes-Benz,CLK 200,2005,187500,Benzin,163,6490
Mazda,6 Exclusive-Line,2019,157540,Diesel,150,124501
Hyundai,i20 Select,2019,51561,Benzin,101,9999
Hyundai,iX35 FIFA,2015,111300,Diesel,136,9000
Mercedes-Benz,C 180,2010,119000,Benzin,156,8880
Skoda,Superb Lim.,2015,92264,Benzin,179,13990
Mercedes-Benz,GLC 300,2021,56283,Benzin,211,337961
Lamborghini,Urus SE,,65,Benzin,799,3888001
Mercedes-Benz,C 300,2018,155409,Benzin,245,20740
Citroen,C3 1.2PureTech,2020,39900,Benzin,82,9390
Hyundai,KONA 2WD|AHK|LED,2018,92961,Benzin,120,10999
BMW,420 i,2017,98601,Benzin,184,16800
Toyota,Aygo X-Play,2018,29915,Benzin,72,11490
Dacia,Spring Elecrtic,,20,Elektro,101,159951
Mercedes-Benz,C 220,2018,131200,Diesel,170,24400
Opel,Astra 120,2019,20746,Benzin,105,11900
Ford,EcoSport 1.0,2019,48831,Benzin,125,11960
Audi,A3 1.8,2015,48700,Benzin,179,18900
Peugeot,308 1.2,2021,51953,Benzin,131,109501
MG,ZS 1.5,2024,10,Benzin,106,162801
Toyota,"Auris 1,4-l-D-4D",2010,218250,Diesel,90,3490
Volvo,V60 D2,2014,229979,Diesel,114,6850
Opel,Zafira B,2011,168205,Benzin,116,4999
Mazda,6 2.2,2014,227300,Diesel,175,5990
Audi,A6 Lim.,2020,109296,Diesel,204,268601
Hyundai,"iX20 1,4",2013,72556,Benzin,90,6970
Volkswagen,Polo *ALLSTAR*PDC*KLimaauto.*Sitzh.*Euro6*,2017,53000,Benzin,75,9190
Dacia,Sandero Comfort,2019,8075,Benzin,73,8950
Peugeot,3008 1.2,2023,86790,Benzin,131,157701
Mitsubishi,ASX Edition,2019,43019,Benzin,117,13780
Kia,Sorento 2.2,2018,130431,Diesel,200,17990
MG,ZS 1.5,2024,10,Benzin,106,162801
Audi,A3 Sportback,2016,96000,Benzin,150,13990
Kia,Ceed /,2022,55702,Benzin,160,169901
Mercedes-Benz,SLK 200,2003,155000,Benzin,163,3949
Jeep,Renegade Night,2017,145000,Diesel,140,11800
Nissan,Qashqai 2.0,2014,95499,Benzin,141,9410
Mercedes-Benz,A 150,2007,180000,Benzin,95,2480
Volvo,XC60 Momentum,2015,150000,Diesel,190,14500
Opel,Astra Caravan,2004,67910,Benzin,105,4700
Opel,Corsa CORSA,2019,37402,Benzin,131,13990
Toyota,Yaris 1.0,2019,47400,Benzin,72,10879
Volkswagen,Golf 1.4,2000,60000,Benzin,75,3990
Renault,Twingo 1.2,2013,83181,Benzin,75,5990
Dacia,Sandero TCe,2024,12053,Benzin,101,14990
BMW,M3 xDrive,2024,42150,Benzin,510,77490
Mitsubishi,Space Star,2019,40050,Benzin,71,7400
Opel,Ampera ePionier°PDC°Navi°RFK°Shzg°Bose°DAB°Radio,2011,162450,Benzin,151,5970
Mitsubishi,Space Star,2019,40050,Benzin,71,7400
Ford,Kuga 1.5,2017,62299,Benzin,150,13910
Land,Rover Discovery,2015,147000,Diesel,179,12490
Mercedes-Benz,B 180,2014,163470,Diesel,109,8900
Volkswagen,Tiguan 2.0,2013,102671,Diesel,140,13500
Genesis,G80 G80,2022,24424,Elektro,370,372901
Subaru,Forester Active,2009,228000,Diesel,147,3790
BMW,320 d,2020,185800,Diesel,190,165801
Peugeot,Rifter Kombi,2021,46326,Diesel,102,163101
Mercedes-Benz,C 200,2016,195055,Diesel,136,12490
Audi,A3 Sportback,2023,21220,Benzin,150,227501
Opel,Corsa Edition*75Ps*Navi*Kamera*LED*PDC*SHZ*Carplay*uvm.,2022,66319,Benzin,75,99901
Mercedes-Benz,CLA 220,2020,230000,Diesel,190,21900
Hyundai,iX35 Classic,2015,283689,Diesel,116,5480
Ford,Focus Tur,2021,146582,Benzin,125,95501
Audi,A3 1.2,2012,127181,Benzin,105,7950
Volkswagen,ID.4 Pure,2023,10400,Elektro,170,238801
Mitsubishi,Eclipse Cross,2022,29736,Benzin,188,189901
Hyundai,BAYON 1.0,2021,31839,Benzin,101,16900
Volkswagen,Polo V,2014,85000,Benzin,75,6700
Hyundai,iX55 Premium,2011,280000,Diesel,239,4888
CUPRA,Terramar 1.5,2025,12672,Benzin,150,319801
Audi,A3 S,2023,71147,Benzin,110,198501
MINI,Cooper S,2006,115600,Benzin,170,7999
Dacia,Duster II,2021,48650,Benzin,131,13750
Volkswagen,Touran Goal,2006,191342,Benzin,150,3590
BMW,328 i,2013,125000,Benzin,245,13690
Audi,Q3 basis,2017,160000,Diesel,150,14800
Skoda,"Kamiq 1,0TSI",2020,43500,Benzin,116,17980
Audi,A4 Kombi,2010,339216,Diesel,136,3499
Mercedes-Benz,C 180,2007,124000,Benzin,143,6990
Volkswagen,Golf Comfort.,2010,113400,Benzin,122,7500
Volkswagen,Tiguan R-Line,2017,203000,Diesel,239,17990
Mitsubishi,Space Star,2014,67940,Benzin,71,4990
MG,ZS EV,2021,41405,Elektro,143,12450
Jaguar,XJ 2.7D,2009,105983,Diesel,207,16999
Subaru,Forester 2.0X,2010,272126,Benzin,150,3980
Dacia,Spring Electric,2025,7942,Elektro,65,14990
Ford,B-Max B-MAX,2016,35175,Benzin,140,9300
Hyundai,SANTA FE,2007,299999,Diesel,150,2799
Opel,Astra J,2015,68363,Benzin,140,8490
Opel,Meriva 1.4,2009,136480,Benzin,90,780
Audi,A6 Av.,2018,145400,Diesel,190,21990
BMW,520 520,2014,181893,Diesel,190,15400
Mercedes-Benz,GLC 300,2020,197029,Benzin,320,225501
Mercedes-Benz,E 320,2008,295000,Diesel,223,6889
Mercedes-Benz,GLB 200,2022,178121,Diesel,150,199501
Opel,Zafira C,2017,99330,Benzin,120,9990
Ford,Focus Lim.,2007,118000,Benzin,101,3299
BMW,318 318,2017,100000,Benzin,136,15990
BMW,318 d,2015,240530,Diesel,143,6980
Kia,Stonic 1.0T,2020,59400,Benzin,101,12990
Audi,A4 35,2022,69823,Benzin,150,215801
Maxus,Euniq 5,2022,950,Elektro,177,229901
MG,MG5 51,2022,19388,Elektro,177,157501
Land,Rover Discovery,2018,113695,Diesel,150,14590
Honda,Civic 1.0,2017,80784,Benzin,129,13640
Hyundai,TUCSON Tucson,2019,84990,Benzin,132,14990
Audi,A6 Avant,2019,156790,Diesel,286,25885
Skoda,Kamiq Essence,2024,14000,Benzin,95,174801
Volvo,V40 Momentum,2019,163000,Diesel,120,10950
Volkswagen,"T-Cross Style,ACC,DSG,Kamera,ToterW,LED,Spurh",2023,16000,Benzin,110,20590
Opel,Astra H,2007,137839,Benzin,90,2490
Audi,A6 allroad,2018,120664,Diesel,218,19950
Suzuki,Ignis Comfort,2021,33000,Benzin,83,12890
SEAT,"Tarraco 2,0""Xcellence""4Drive""7Sitze""Panorama""",2019,150000,Diesel,190,20980
Kia,XCeed 1.0,2022,45777,Benzin,120,159901
Volkswagen,T-Roc 1.0,2021,21720,Benzin,110,182021
Alpina,B5 Bmw,2020,79424,Benzin,621,89875
Mercedes-Benz,S 500,2000,214300,Benzin,306,3450
BMW,318 i,2021,27000,Benzin,156,24980
Fiat,Panda 1.2,2008,25453,Benzin,60,5850
Volkswagen,T-Cross Life*PDC*Telefon*Klima*Alu*Sitzhzg.,2019,97000,Benzin,95,13495
Hyundai,TUCSON 1.6,2025,5,Benzin,239,309991
Mercedes-Benz,C 180,2027,209361,Benzin,143,3500
Peugeot,5008 Active,2015,194000,Diesel,150,5500
Volkswagen,Golf V,2009,117000,Diesel,105,6890
