brand,model,year,mileage,fuel,transmission,power_ps,price
Corvette,C8 6.2,2024,8749,Benzin,,481,75900
Volkswagen,Passat Variant,2019,238594,Diesel,,150,8390
Subaru,Legacy Lim.,2013,158600,Diesel,,150,6490
BMW,316 316ti,2003,271949,Benzin,,116,499
Renault,Scenic III,2015,186348,Benzin,,132,2999
Ford,Focus Finesse,2003,140000,Benzin,,75,500
Volkswagen,Golf Plus,2010,149000,Benzin,,105,2990
Kia,Sportage 2.0CRDI,2011,115500,Diesel,,136,6410
Ford,Fiesta 5-Türer,2015,126656,Benzin,,101,4750
Mitsubishi,Space Star,2019,122000,Benzin,,70,4800
Citroen,C3 1.4,2008,95400,Benzin,,88,2490
Ford,C-Max Trend,2027,203014,Diesel,Automatik,109,1699
Renault,Twingo Life,2016,176144,Benzin,,69,3000
Opel,Insignia Lim.,2012,208350,Diesel,,160,4000
Dacia,Sandero Comfort,2019,8075,Benzin,,73,8950
BMW,114 i,2012,216861,Benzin,,102,3900
MINI,Cooper S,2003,131981,Benzin,,163,2299
Peugeot,5008 Active,2015,194000,Diesel,,150,5500
Opel,Corsa D,2009,162515,Benzin,,80,2299
Volkswagen,Passat Variant,2019,238594,Diesel,,150,8390
Audi,A5 Sportback,2012,160000,Benzin,,211,9900
Hyundai,i20 1-Hand,2012,188700,Diesel,,77,2450
BMW,X3 2.0d,2006,150000,Diesel,,150,4200
Lada,Niva Niva,2001,118500,Benzin,,82,1499
Opel,Insignia B,2015,170500,Diesel,,170,5900
Volkswagen,Golf 7,2013,179887,Benzin,,105,5950
Alfa,Romeo 159,2007,206043,Diesel,Automatik,200,1999
Mitsubishi,Space Star,2017,43500,Benzin,,80,6980
SEAT,Arona Start,,0,Benzin,,95,162501
Ford,Focus 1.8,2009,184000,Benzin,,125,1450
Renault,Kangoo 1.6,2004,157998,Benzin,,95,2999
Toyota,Avensis Sol,2008,152000,Benzin,Automatik,147,4990
Mitsubishi,Space Star,2023,39851,Benzin,,71,9990
Volkswagen,Polo 1.0,1996,118464,Benzin,,50,999
Ford,Fiesta 1.25,2011,80000,Benzin,,60,4900
Alfa,Romeo Giulietta,2017,156650,Diesel,,175,7990
Audi,A3 1.2,2012,63500,Benzin,,105,10995
Renault,"Kadjar Life,",2019,26692,Benzin,,140,12980
Renault,Clio Limited,2016,98047,Benzin,,73,3900
BMW,316 316ti,2003,271949,Benzin,,116,499
Hyundai,iX35 Comfort,2014,262700,Diesel,,136,4980
Volkswagen,Polo Trendline,2009,147500,Benzin,,69,4985
Ford,Focus Focus,2017,156100,Benzin,,101,4400
Jaguar,XF R-Sport,2017,128000,Diesel,,179,14900
Opel,Crossland X,2020,28155,Benzin,,110,12220
Opel,Zafira 1.8,2002,195701,Benzin,,125,599
Citroen,C3 Live,2019,165271,Benzin,,82,4999
Renault,Megane IV,2016,100526,Diesel,,101,8500
Audi,A3 30,2021,100000,Benzin,,110,169001
Opel,Corsa F,2020,20230,Benzin,,101,138701
Opel,Corsa Corsa,2011,100000,Benzin,,69,3600
Honda,Civic 1.8,2013,159000,Benzin,,141,6400
MINI,Cooper Mini,2028,139900,Benzin,,120,3890
Ford,Fiesta Trend,2016,157400,Diesel,,95,4500
Toyota,Corolla 1.4,2004,132000,Benzin,,97,2490
SEAT,Ibiza SC,2009,65000,Benzin,,69,4490
Mercedes-Benz,Citan Kombi,2014,172000,Diesel,,90,6790
Audi,e-tron 35,2022,61459,Elektro,,170,239801
Ford,S-Max 2.0d,2013,271346,Diesel,,140,3750
Subaru,Legacy Lim.,2013,158600,Diesel,,150,6490
Dacia,Spring Electric,1951,20,Elektro,,71,131951
Volkswagen,Polo V,2012,102182,Benzin,,69,6499
Dacia,Duster I,2017,145908,Benzin,,125,5999
Jeep,Compass Limited,2018,105500,Benzin,,170,13790
Dacia,Spring Elecrtic,,20,Elektro,,101,159951
smart,forTwo fortwo,2007,75462,Benzin,,50,2499
Mazda,CX-3 2.0,2016,117000,Benzin,,120,10199
Mazda,MX-30 e-SKYACTIV,2020,8752,Elektro,,110,149851
Opel,Mokka-E GS,2022,32950,Elektro,,136,154501
CUPRA,Formentor 1.5,2023,13539,Benzin,,150,209501
Ford,B-Max B-MAX,2014,102924,Benzin,,101,5499
Mercedes-Benz,A 180,2005,268667,Diesel,Automatik,109,899
Toyota,Avensis 1.8,2006,161734,Benzin,,129,2599
Mercedes-Benz,CLA 250,2013,100602,Benzin,,211,16380
Jeep,Avenger 1.2,2024,30000,Benzin,,101,169001
